company_id,company_name,role,tagline,category,topic,pattern,difficulty,question_count,fit_strong,fit_borderline
agastya,Agastya,Campus / Placement,12 real questions from past Agastya interviews,Technical,General,Tell me about your self,medium,8,7,5.5
agastya,Agastya,Campus / Placement,12 real questions from past Agastya interviews,Technical,Java,did you work on java and xml,medium,8,7,5.5
agastya,Agastya,Campus / Placement,12 real questions from past Agastya interviews,Technical,General,questions on activities and fragments,medium,8,7,5.5
agastya,Agastya,Campus / Placement,12 real questions from past Agastya interviews,Technical,General,question on pillars of android,medium,8,7,5.5
agastya,Agastya,Campus / Placement,12 real questions from past Agastya interviews,Technical,General,Later asked few questions on the task done,medium,8,7,5.5
agastya,Agastya,Campus / Placement,12 real questions from past Agastya interviews,Technical,General,"while doing the task given, he asked to build in mvvm architecture",hard,8,7,5.5
agastya,Agastya,Campus / Placement,12 real questions from past Agastya interviews,Technical,General,about past company experience and roles and responsibilities,medium,8,7,5.5
agastya,Agastya,Campus / Placement,12 real questions from past Agastya interviews,Technical,General,pillars of android,medium,8,7,5.5
agastya,Agastya,Campus / Placement,12 real questions from past Agastya interviews,Technical,General,Questions on activities and fragment.,medium,8,7,5.5
agastya,Agastya,Campus / Placement,12 real questions from past Agastya interviews,Technical,General,Some basic backend request response,medium,8,7,5.5
agastya,Agastya,Campus / Placement,12 real questions from past Agastya interviews,Technical,APIs,Asked to build an MVVM architecture based api call and display in the app,hard,8,7,5.5
agastya,Agastya,Campus / Placement,12 real questions from past Agastya interviews,Technical,General,next questions on implementation,medium,8,7,5.5
alter-square,Alter square,Campus / Placement,7 real questions from past Alter square interviews,Technical,General,"Coding:automorphic number, 1=a,2=b…26=z let input=“12” we have to print possible ways count and show “ab”—“12” and “l”—“12”",medium,8,7,5.5
alter-square,Alter square,Campus / Placement,7 real questions from past Alter square interviews,Situational,Behavioral,"What is regularexpressions,what is promise,fetch,axios, tell about project,",medium,8,7,5.5
alter-square,Alter square,Campus / Placement,7 real questions from past Alter square interviews,Technical,Python,Python,medium,8,7,5.5
alter-square,Alter square,Campus / Placement,7 real questions from past Alter square interviews,Technical,General,2*(3+2)-1 convert this expression into code to get output that follows bodmas rule,medium,8,7,5.5
alter-square,Alter square,Campus / Placement,7 real questions from past Alter square interviews,Technical,General,Find the longest nonrepeatig substring in a given string,medium,8,7,5.5
alter-square,Alter square,Campus / Placement,7 real questions from past Alter square interviews,Technical,SQL,Sql,medium,8,7,5.5
alter-square,Alter square,Campus / Placement,7 real questions from past Alter square interviews,Technical,General,Given three tables and asked questions and we need to write queries (10 queries advanced level ),medium,8,7,5.5
altersqaure,Altersqaure,Campus / Placement,1 real questions from past Altersqaure interviews,Technical,General,Explain MongoDB aggregation,medium,8,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,2 coding questions,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,Pass by value/ pass by reference,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,Promises,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,What is the type of array,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,"Given the size of a list of integers, n, and the",medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,Ist my bet your task is to compute the,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,running total based on the following,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,If the langenge you are coding in uses 0-,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,besed indexing:,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,Add the lens at the venut,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,inderes to the total.,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,fubtract the elements at the odd-,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,membered in from the total.,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,of the language you are cosangin,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,Add them of the drumband,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,mdesas to the final.,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,Subtract the elements at the aven,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,mds from the total,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,reisidered an even andex,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,Note: Index O is considered an even index.,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,"Thon, hased on the running total, return a",medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,value according to the following rules:,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,"If the total is divisible by 2 (but not by 3),",medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,return the total multighed by 2.,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,"If the total is divisible by 3 (but not by 2),",medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,return the total multiplied by 3.,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,"If the total is divisible by 6, return the total",medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,multiplied by 6.,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,"Otherwise, return the total lisel.",medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,Write the function that,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,ample 1 (assuming -besed indexing):,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,"my_list = 1,2,3",medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,DSA,1Coding: Entry-Level Algorithms,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,2Problem Solving,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,3Communication (Intermediate),medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,In the communication section they asked some personal based questions related to our decision making in some scenarios at work place,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,Git,Solve a problem where sum of digits repeatedly get a single digit,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,Interview Questions Asked By Pragmaedge Hr,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,Write a functional perfect number that checks whether a given number is a perfect number or not. Differentiate division by this or the same. The answer in this solution will be greater than 2. This solution should be not used in built-in functional division. Thank you for watching!,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,Why do we use reduced functions in an array?,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,Java,what are promises in Javascript?,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,Pass by value pass by reference,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Situational,Behavioral,"introduction, project questions",medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,given a task and execution in online compiler and asked me to explain each line,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Aptitude,Logic,"Apptitude tarins and boats, time and work, property and ratios, English grammar -small passages, coding basic 2 questions",medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,coding question,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,The purpose of this question is to show you how coding tests work. You are not being scored for anything in this question.,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,Use this time to explore this practice question before your actual test begins.,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,"Do not close this window at any time. The countdown timer will keep running, and you will miss your test question if you close the window.",medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,You are given:,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,n: the size of the array,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,val1: an integer,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,arr: an array of integers,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,"If the total is divisible by 2 (but not by 3), return the total multiplied by 2.",medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,"If the total is divisible by 3 (but not by 2), return the total multiplied by 3.",medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,"If the total is divisible by 6, return the total multiplied by 6.",medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,"Otherwise, return the total itself.",medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,Write the function calculateRunningTotal that does this.,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,Example 1 (assuming 0-based indexing):,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,n = 3,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,my_list = 1 2 3,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,Example 2 (assuming 0-based indexing):,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,"Given the size of a list of integers, n, and the list my_list, your task is to compute the running total based on the following conditions:",medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,If the language you are coding in uses 0-based indexing:,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,Add the elements at the even-numbered indexes to the total.,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,Subtract the elements at the odd-numbered indexes from the total.,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,If the language you are coding in uses 1-based indexing:,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,Add the elements at the odd-numbered indexes to the total.,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,Subtract the elements at the even-numbered indexes from the total.,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,Note: Index 0 is considered an even index.,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,"Then, based on the running total, return a value according to the following rules:",medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,my_list = 80 30 31,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,function calculateRunningTotal,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,const readline = require('readline');,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,const rl = readline.createInterface({,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,"input: process.stdin,",medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,output: process.stdout,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,});,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,"rl.question(""n: "", (n) => {",medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,"rl.question(""input list: "", (inputList) => {",medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,"const my_list = inputList.split(',').map(Number);",medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,"const result = calculateRunningTotal(n, my_list);",medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,console.log(result);,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,rl.close();,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,Question Explanation – calculateRunningTotal,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,An integer n → size of the list,medium,12,7,5.5
altersquare,Altersquare,Campus / Placement,119 real questions from past Altersquare interviews,Technical,General,A list of integers → my_list,medium,12,7,5.5
